MPI_Processes,Size,ComputeTime,IOTime,TotalTime
199,10000,0.596922,,3.829368
200,10000,0.596112,,3.859747
201,10000,0.595411,,3.612294
202,10000,0.595978,,3.854391
203,10000,0.584906,,4.061158
204,10000,0.584835,,3.218581
205,10000,0.585019,,4.180612
206,10000,0.586080,,3.524484
207,10000,0.575511,,3.701167
208,10000,0.576997,,4.261041
209,10000,0.575949,,3.207459
210,10000,0.575107,,4.715948
211,10000,0.564010,,4.402381
212,10000,0.563999,,4.550586
213,10000,0.564290,,4.522421
214,10000,0.564221,,5.030403
215,10000,0.564606,,4.979272
216,10000,0.553225,,4.001151
217,10000,0.552427,,4.247944
218,10000,0.552323,,3.486274
219,10000,0.552694,,4.656576
220,10000,0.538119,,4.407935
221,10000,0.538984,,4.086631
222,10000,0.540157,,4.489718
223,10000,0.540533,,3.878049
224,10000,0.540993,,4.633693
225,10000,0.529253,,4.912587
226,10000,0.529325,,5.201157
227,10000,0.529253,,4.624356
228,10000,0.529514,,4.882177
229,10000,0.529370,,5.413152
230,10000,0.516984,,3.872766
231,10000,0.517546,,4.493983
232,10000,0.518549,,4.508414
233,10000,0.519210,,4.894903
234,10000,0.518882,,5.827631
235,10000,0.518556,,4.037850
236,10000,0.504648,,5.663529
237,10000,0.506273,,4.845362
238,10000,0.506355,,4.731602
239,10000,0.505585,,5.505113
240,10000,0.505658,,4.813327
241,10000,0.502539,,5.139039
242,10000,0.494257,,4.710337
243,10000,0.495795,,4.835093
244,10000,0.494428,,5.189658
245,10000,0.495524,,4.545627
246,10000,0.495512,,5.284640
247,10000,0.482510,,5.866054
248,10000,0.482368,,4.796286
249,10000,0.482655,,4.022566
250,10000,0.482624,,4.150335
251,10000,0.482649,,4.279008
252,10000,0.482943,,6.179869
253,10000,0.482671,,4.871590
254,10000,0.472514,,4.983114
255,10000,0.472853,,4.813812
256,10000,0.472218,,5.671700
