Processes,Size,Algorithm,Latency(us)
64,64,Linear,2.46
64,128,Linear,2.66
64,256,Linear,2.72
64,512,Linear,2.79
64,1024,Linear,3.07
64,2048,Linear,5.97
64,4096,Linear,12.35
64,8192,Linear,24.85
64,16384,Linear,50.08
64,32768,Linear,102.73
64,65536,Linear,179.1
64,131072,Linear,445.11
64,262144,Linear,1301.23
64,524288,Linear,2604.48
64,1048576,Linear,5039.74
128,2,Linear,5.89
128,4,Linear,6.48
128,8,Linear,6.4
128,16,Linear,6.53
128,32,Linear,6.22
128,64,Linear,6.24
128,128,Linear,6.56
128,256,Linear,6.13
128,512,Linear,6.21
128,1024,Linear,6.3
128,2048,Linear,10.45
128,4096,Linear,22.82
128,8192,Linear,42.51
128,16384,Linear,88.51
128,32768,Linear,191.74
128,65536,Linear,412.59
128,131072,Linear,957.37
128,262144,Linear,3454.07
128,524288,Linear,6538.67
128,1048576,Linear,12797.26
256,2,Linear,3.45
256,4,Linear,3.44
256,8,Linear,3.36
256,16,Linear,3.21
256,32,Linear,3.38
256,64,Linear,3.63
256,128,Linear,3.72
256,256,Linear,3.71
256,512,Linear,3.83
256,1024,Linear,4.3
256,2048,Linear,5.44
256,4096,Linear,11.71
256,8192,Linear,25.28
256,16384,Linear,52.58
256,32768,Linear,112.25
256,65536,Linear,235.32
256,131072,Linear,458.8
256,262144,Linear,4931.55
256,524288,Linear,9615.52
2,2,Binomial,0.16
2,4,Binomial,0.16
2,8,Binomial,0.17
2,16,Binomial,0.18
2,32,Binomial,0.18
2,64,Binomial,0.18
2,128,Binomial,0.21
2,256,Binomial,0.21
2,512,Binomial,0.23
2,1024,Binomial,0.26
2,2048,Binomial,0.31
2,4096,Binomial,0.4
2,8192,Binomial,0.51
2,16384,Binomial,0.91
2,32768,Binomial,1.74
2,65536,Binomial,3.25
2,131072,Binomial,7.44
2,262144,Binomial,21.54
2,524288,Binomial,42.97
2,1048576,Binomial,79.04
4,2,Binomial,0.25
4,4,Binomial,0.24
4,8,Binomial,0.25
4,16,Binomial,0.25
4,32,Binomial,0.25
4,64,Binomial,0.25
4,128,Binomial,0.34
4,256,Binomial,0.39
4,512,Binomial,0.38
4,1024,Binomial,0.43
4,2048,Binomial,0.48
4,4096,Binomial,0.6
4,8192,Binomial,0.9
4,16384,Binomial,1.74
4,32768,Binomial,3.29
4,65536,Binomial,5.81
4,131072,Binomial,10.24
4,262144,Binomial,42.98
4,524288,Binomial,83.44
4,1048576,Binomial,968.75
8,2,Binomial,0.5
8,4,Binomial,0.51
8,8,Binomial,0.51
8,16,Binomial,0.51
8,32,Binomial,0.55
8,64,Binomial,0.5
8,128,Binomial,0.69
8,256,Binomial,0.7
8,512,Binomial,0.8
8,1024,Binomial,0.77
8,2048,Binomial,1.05
8,4096,Binomial,1.16
8,8192,Binomial,1.62
8,16384,Binomial,2.99
8,32768,Binomial,5.6
8,65536,Binomial,10.61
8,131072,Binomial,18.44
8,262144,Binomial,80.76
8,524288,Binomial,260.73
8,1048576,Binomial,1265.58
16,2,Binomial,0.57
16,4,Binomial,0.56
16,8,Binomial,0.55
16,16,Binomial,0.56
16,32,Binomial,0.61
16,64,Binomial,0.62
16,128,Binomial,0.76
16,256,Binomial,0.76
16,512,Binomial,0.78
16,1024,Binomial,0.89
16,2048,Binomial,1.06
16,4096,Binomial,1.43
16,8192,Binomial,2.04
16,16384,Binomial,3.65
16,32768,Binomial,6.94
16,65536,Binomial,13.44
16,131072,Binomial,26.56
16,262144,Binomial,114.53
16,524288,Binomial,351.93
16,1048576,Binomial,818.85
32,2,Binomial,0.64
32,4,Binomial,0.63
32,8,Binomial,0.64
32,16,Binomial,0.63
32,32,Binomial,0.69
32,64,Binomial,0.69
32,128,Binomial,0.84
32,256,Binomial,0.85
32,512,Binomial,0.87
32,1024,Binomial,0.96
32,2048,Binomial,1.16
32,4096,Binomial,1.51
32,8192,Binomial,2.2
32,16384,Binomial,4.08
32,32768,Binomial,7.66
32,65536,Binomial,14.72
32,131072,Binomial,30.81
32,262144,Binomial,117.02
32,524288,Binomial,392.04
32,1048576,Binomial,860.54
64,2,Binomial,0.74
64,4,Binomial,0.74
64,8,Binomial,0.73
64,16,Binomial,0.73
64,32,Binomial,0.85
64,64,Binomial,0.82
64,128,Binomial,1.04
64,256,Binomial,1.04
64,512,Binomial,1.01
64,1024,Binomial,1.11
64,2048,Binomial,1.38
64,4096,Binomial,1.73
64,8192,Binomial,2.58
64,16384,Binomial,4.6
64,32768,Binomial,9.8
64,65536,Binomial,17.22
64,131072,Binomial,32.45
64,262144,Binomial,133.9
64,524288,Binomial,421.02
64,1048576,Binomial,928.54
128,2,Binomial,0.93
128,4,Binomial,1.06
128,8,Binomial,0.87
128,16,Binomial,0.96
128,32,Binomial,1.08
128,64,Binomial,1.02
128,128,Binomial,1.2
128,256,Binomial,1.44
128,512,Binomial,1.36
128,1024,Binomial,1.26
128,2048,Binomial,1.56
128,4096,Binomial,2.31
128,8192,Binomial,3.11
128,16384,Binomial,4.84
128,32768,Binomial,10.33
128,65536,Binomial,19.8
128,131072,Binomial,33.44
128,262144,Binomial,150.63
128,524288,Binomial,428.25
128,1048576,Binomial,948.45
256,2,Binomial,0.66
256,4,Binomial,0.65
256,8,Binomial,0.71
256,16,Binomial,0.74
256,32,Binomial,0.7
256,64,Binomial,0.68
256,128,Binomial,0.88
256,256,Binomial,0.89
256,512,Binomial,0.96
256,1024,Binomial,1.03
256,2048,Binomial,1.24
256,4096,Binomial,1.62
256,8192,Binomial,2.6
256,16384,Binomial,4.83
256,32768,Binomial,8.53
256,65536,Binomial,16.44
256,131072,Binomial,33.2
256,262144,Binomial,155.21
256,524288,Binomial,450.82
256,1048576,Binomial,952.26
2,2,Rabenseifner,0.4
2,4,Rabenseifner,0.39
2,8,Rabenseifner,0.41
2,16,Rabenseifner,0.4
2,32,Rabenseifner,0.39
2,64,Rabenseifner,0.39
2,128,Rabenseifner,0.41
2,256,Rabenseifner,0.5
2,512,Rabenseifner,0.53
2,1024,Rabenseifner,0.58
2,2048,Rabenseifner,0.73
2,4096,Rabenseifner,0.8
2,8192,Rabenseifner,1.08
2,16384,Rabenseifner,1.8
2,32768,Rabenseifner,3.46
2,65536,Rabenseifner,6.21
2,131072,Rabenseifner,12.1
2,262144,Rabenseifner,129.65
2,524288,Rabenseifner,87.19
2,1048576,Rabenseifner,177.57
4,2,Rabenseifner,0.19
4,4,Rabenseifner,0.67
4,8,Rabenseifner,0.68
4,16,Rabenseifner,0.68
4,32,Rabenseifner,0.68
4,64,Rabenseifner,0.68
4,128,Rabenseifner,0.7
4,256,Rabenseifner,0.81
4,512,Rabenseifner,0.95
4,1024,Rabenseifner,0.98
4,2048,Rabenseifner,1.22
4,4096,Rabenseifner,1.41
4,8192,Rabenseifner,1.98
4,16384,Rabenseifner,3.05
4,32768,Rabenseifner,5.14
4,65536,Rabenseifner,9.29
4,131072,Rabenseifner,17.95
4,262144,Rabenseifner,141.13
4,524288,Rabenseifner,123.73
4,1048576,Rabenseifner,2047.84
