Processes,Size,Algorithm,Latency(us)
2,2,7,0.38
4,2,7,0.19
6,2,7,0.32
8,2,7,0.33
10,2,7,0.24
12,2,7,0.24
14,2,7,0.40
16,2,7,0.66
18,2,7,0.66
20,2,7,0.50
22,2,7,0.59
24,2,7,0.52
26,2,7,0.67
28,2,7,0.77
30,2,7,0.98
32,2,7,1.19
34,2,7,1.20
36,2,7,1.17
38,2,7,1.25
40,2,7,1.22
42,2,7,1.34
44,2,7,1.25
46,2,7,1.34
48,2,7,1.40
50,2,7,1.58
52,2,7,1.64
54,2,7,1.81
56,2,7,1.78
58,2,7,1.93
60,2,7,2.08
62,2,7,2.31
64,2,7,2.43
66,2,7,2.87
68,2,7,2.83
70,2,7,3.12
72,2,7,3.14
74,2,7,3.20
76,2,7,3.41
78,2,7,3.37
80,2,7,3.54
82,2,7,3.77
84,2,7,3.69
86,2,7,3.92
88,2,7,3.92
90,2,7,4.10
92,2,7,4.14
94,2,7,4.38
96,2,7,4.34
98,2,7,4.52
100,2,7,4.57
102,2,7,4.81
104,2,7,4.73
106,2,7,5.07
108,2,7,5.08
110,2,7,5.41
112,2,7,5.50
114,2,7,5.67
116,2,7,5.61
118,2,7,5.91
120,2,7,6.10
122,2,7,5.44
124,2,7,6.12
126,2,7,6.11
128,2,7,5.87
130,2,7,5.83
132,2,7,5.84
134,2,7,5.70
136,2,7,5.64
138,2,7,5.45
140,2,7,5.37
142,2,7,5.28
144,2,7,5.22
146,2,7,5.01
148,2,7,4.79
150,2,7,4.60
152,2,7,4.72
154,2,7,4.23
156,2,7,4.07
158,2,7,3.94
160,2,7,3.84
162,2,7,3.62
164,2,7,3.70
166,2,7,3.88
168,2,7,3.91
170,2,7,3.89
172,2,7,3.92
174,2,7,3.68
176,2,7,3.69
178,2,7,3.52
180,2,7,3.27
182,2,7,3.21
184,2,7,2.93
186,2,7,2.86
188,2,7,2.69
190,2,7,2.73
192,2,7,2.43
194,2,7,2.49
196,2,7,2.32
198,2,7,2.45
200,2,7,2.36
202,2,7,2.46
204,2,7,2.43
206,2,7,2.44
208,2,7,2.41
210,2,7,2.33
212,2,7,2.22
214,2,7,2.21
216,2,7,2.21
218,2,7,2.20
220,2,7,2.07
222,2,7,2.07
224,2,7,2.05
226,2,7,2.07
228,2,7,1.95
230,2,7,2.18
232,2,7,2.10
234,2,7,2.04
236,2,7,1.95
238,2,7,1.96
240,2,7,2.00
242,2,7,2.07
244,2,7,1.79
246,2,7,1.80
248,2,7,1.82
250,2,7,1.76
252,2,7,1.67
254,2,7,1.79
256,2,7,3.05
