Processes,Size,Algorithm,Latency(us)
2,2,3,0.16
4,2,3,0.25
6,2,3,0.64
8,2,3,1.20
10,2,3,1.82
12,2,3,2.44
14,2,3,2.26
16,2,3,3.49
18,2,3,3.23
20,2,3,4.83
22,2,3,3.95
24,2,3,4.18
26,2,3,4.30
28,2,3,4.59
30,2,3,5.38
32,2,3,5.68
34,2,3,6.40
36,2,3,7.92
38,2,3,7.05
40,2,3,8.56
42,2,3,7.77
44,2,3,8.55
46,2,3,8.72
48,2,3,9.42
50,2,3,9.52
52,2,3,10.80
54,2,3,10.06
56,2,3,11.53
58,2,3,10.54
60,2,3,11.30
62,2,3,12.42
64,2,3,12.70
66,2,3,12.85
68,2,3,12.57
70,2,3,13.50
72,2,3,14.55
74,2,3,15.73
76,2,3,16.21
78,2,3,15.08
80,2,3,17.22
82,2,3,16.67
84,2,3,17.29
86,2,3,17.91
88,2,3,19.65
90,2,3,17.88
92,2,3,20.34
94,2,3,19.31
96,2,3,20.43
98,2,3,21.65
100,2,3,20.85
102,2,3,21.14
104,2,3,21.64
106,2,3,21.23
108,2,3,22.59
110,2,3,22.25
112,2,3,22.97
114,2,3,23.00
116,2,3,23.99
118,2,3,25.35
120,2,3,24.70
122,2,3,24.79
124,2,3,25.65
126,2,3,26.88
128,2,3,25.47
130,2,3,25.31
132,2,3,26.56
134,2,3,27.45
136,2,3,27.60
138,2,3,27.96
140,2,3,29.20
142,2,3,30.02
144,2,3,30.30
146,2,3,31.72
148,2,3,31.77
150,2,3,32.09
152,2,3,33.03
154,2,3,32.29
156,2,3,33.59
158,2,3,33.99
160,2,3,34.59
162,2,3,34.73
164,2,3,36.02
166,2,3,35.42
168,2,3,36.37
170,2,3,38.03
172,2,3,43.33
174,2,3,37.49
176,2,3,37.71
178,2,3,37.90
180,2,3,38.79
182,2,3,39.77
184,2,3,41.45
186,2,3,40.34
188,2,3,41.99
190,2,3,41.90
192,2,3,42.13
194,2,3,41.08
196,2,3,44.13
198,2,3,83.77
200,2,3,44.33
202,2,3,44.67
204,2,3,44.82
206,2,3,46.18
208,2,3,51.97
210,2,3,47.51
212,2,3,48.03
214,2,3,45.47
216,2,3,48.84
218,2,3,48.45
220,2,3,49.84
222,2,3,51.09
224,2,3,50.65
226,2,3,52.33
228,2,3,53.76
230,2,3,55.01
232,2,3,54.10
234,2,3,58.41
236,2,3,53.01
238,2,3,53.90
240,2,3,55.18
242,2,3,53.58
244,2,3,56.83
246,2,3,57.13
248,2,3,53.66
250,2,3,55.94
252,2,3,52.32
254,2,3,52.80
256,2,3,29.47
