Processes,Size,Algorithm,Latency(us)
2,2,6,0.15
4,2,6,0.18
6,2,6,0.37
8,2,6,0.82
10,2,6,1.08
12,2,6,1.04
14,2,6,1.06
16,2,6,1.12
18,2,6,1.67
20,2,6,1.48
22,2,6,1.45
24,2,6,1.50
26,2,6,1.39
28,2,6,1.38
30,2,6,1.44
32,2,6,1.54
34,2,6,2.39
36,2,6,2.09
38,2,6,2.10
40,2,6,2.01
42,2,6,1.96
44,2,6,1.85
46,2,6,1.95
48,2,6,2.02
50,2,6,1.97
52,2,6,1.94
54,2,6,1.93
56,2,6,1.97
58,2,6,1.98
60,2,6,1.93
62,2,6,1.95
64,2,6,1.61
66,2,6,1.49
68,2,6,1.81
70,2,6,1.61
72,2,6,1.77
74,2,6,1.76
76,2,6,1.81
78,2,6,1.73
80,2,6,1.82
82,2,6,1.83
84,2,6,1.87
86,2,6,2.07
88,2,6,2.00
90,2,6,2.10
92,2,6,2.14
94,2,6,2.34
96,2,6,2.13
98,2,6,1.95
100,2,6,2.02
102,2,6,2.11
104,2,6,2.16
106,2,6,2.40
108,2,6,2.32
110,2,6,2.70
112,2,6,2.30
114,2,6,2.44
116,2,6,2.46
118,2,6,2.52
120,2,6,2.55
122,2,6,2.65
124,2,6,2.67
126,2,6,2.55
128,2,6,2.38
130,2,6,1.76
132,2,6,2.83
134,2,6,2.28
136,2,6,2.23
138,2,6,2.44
140,2,6,2.47
142,2,6,2.48
144,2,6,2.27
146,2,6,3.25
148,2,6,2.52
150,2,6,2.79
152,2,6,3.21
154,2,6,3.16
156,2,6,3.52
158,2,6,3.76
160,2,6,4.60
162,2,6,5.05
164,2,6,4.44
166,2,6,4.68
168,2,6,5.02
170,2,6,6.07
172,2,6,5.63
174,2,6,5.70
176,2,6,5.03
178,2,6,5.26
180,2,6,5.38
182,2,6,6.29
184,2,6,6.40
186,2,6,5.49
188,2,6,5.75
190,2,6,5.85
192,2,6,5.44
194,2,6,5.82
196,2,6,7.11
198,2,6,7.21
200,2,6,7.18
202,2,6,8.07
204,2,6,9.79
206,2,6,8.69
208,2,6,8.70
210,2,6,9.55
212,2,6,9.51
214,2,6,11.09
216,2,6,11.83
218,2,6,12.49
220,2,6,10.73
222,2,6,11.73
224,2,6,9.11
226,2,6,9.28
228,2,6,9.99
230,2,6,11.89
232,2,6,11.09
234,2,6,10.97
236,2,6,12.31
238,2,6,12.96
240,2,6,12.25
242,2,6,13.85
244,2,6,15.37
246,2,6,14.05
248,2,6,16.24
250,2,6,16.03
252,2,6,15.34
254,2,6,16.40
256,2,6,3.69
