Processes,Size,Algorithm,Latency(us)
2,2,1,0.15
2,4,1,0.16
2,8,1,0.15
2,16,1,0.16
2,32,1,0.15
2,64,1,0.15
2,128,1,0.19
2,256,1,0.20
2,512,1,0.22
2,1024,1,0.25
2,2048,1,0.30
2,4096,1,0.33
2,8192,1,0.41
2,16384,1,4.86
2,32768,1,5.07
2,65536,1,6.41
2,131072,1,10.79
2,262144,1,19.72
2,524288,1,43.63
2,1048576,1,93.81
4,2,1,0.13
4,4,1,0.14
4,8,1,0.13
4,16,1,0.13
4,32,1,0.13
4,64,1,0.13
4,128,1,0.27
4,256,1,0.26
4,512,1,0.30
4,1024,1,0.34
4,2048,1,0.47
4,4096,1,0.56
4,8192,1,0.80
4,16384,1,7.16
4,32768,1,10.58
4,65536,1,11.48
4,131072,1,22.32
4,262144,1,67.22
4,524288,1,142.59
4,1048576,1,316.87
8,2,1,0.86
8,4,1,0.89
8,8,1,0.91
8,16,1,0.96
8,32,1,0.93
8,64,1,1.05
8,128,1,1.56
8,256,1,1.42
8,512,1,1.59
8,1024,1,1.81
8,2048,1,2.41
8,4096,1,3.34
8,8192,1,4.62
8,16384,1,16.46
8,32768,1,21.53
8,65536,1,33.16
8,131072,1,53.10
8,262144,1,144.96
8,524288,1,342.20
8,1048576,1,731.12
16,2,1,1.60
16,4,1,1.60
16,8,1,1.57
16,16,1,1.69
16,32,1,1.75
16,64,1,1.73
16,128,1,3.30
16,256,1,3.21
16,512,1,3.24
16,1024,1,3.97
16,2048,1,5.40
16,4096,1,8.31
16,8192,1,13.21
16,16384,1,10.47
16,32768,1,22.32
16,65536,1,48.40
16,131072,1,107.81
16,262144,1,237.85
16,524288,1,404.41
16,1048576,1,916.20
32,2,1,3.13
32,4,1,3.36
32,8,1,3.22
32,16,1,3.35
32,32,1,3.36
32,64,1,3.41
32,128,1,7.10
32,256,1,7.07
32,512,1,7.29
32,1024,1,8.75
32,2048,1,12.33
32,4096,1,17.81
32,8192,1,26.89
32,16384,1,23.36
32,32768,1,52.66
32,65536,1,102.91
32,131072,1,232.01
32,262144,1,461.31
32,524288,1,941.41
32,1048576,1,1727.37
64,2,1,4.98
64,4,1,5.14
64,8,1,5.08
64,16,1,5.40
64,32,1,6.04
64,64,1,5.63
64,128,1,14.79
64,256,1,15.29
64,512,1,15.70
64,1024,1,17.72
64,2048,1,27.69
64,4096,1,43.37
64,8192,1,71.87
64,16384,1,50.94
64,32768,1,88.28
64,65536,1,212.53
64,131072,1,485.74
64,262144,1,807.35
64,524288,1,2098.03
64,1048576,1,4135.96
128,2,1,13.11
128,4,1,13.62
128,8,1,13.28
128,16,1,13.77
128,32,1,15.63
128,64,1,14.67
128,128,1,37.14
128,256,1,38.78
128,512,1,38.17
128,1024,1,41.94
128,2048,1,65.78
128,4096,1,89.13
128,8192,1,144.47
128,16384,1,111.87
128,32768,1,209.85
128,65536,1,576.64
128,131072,1,1505.58
128,262144,1,3092.35
128,524288,1,6708.43
128,1048576,1,12881.90
256,2,1,38.02
256,4,1,38.44
256,8,1,38.39
256,16,1,38.94
256,32,1,41.95
256,64,1,43.40
256,128,1,80.55
256,256,1,83.08
256,512,1,102.42
256,1024,1,93.14
256,2048,1,133.57
256,4096,1,168.63
256,8192,1,256.28
256,16384,1,108.21
256,32768,1,200.71
256,65536,1,403.28
256,131072,1,909.11
256,262144,1,1841.86
256,524288,1,3645.72
256,1048576,1,8859.99
