Processes,Size,Algorithm,Latency(us)
2,2,4,0.18
4,2,4,0.27
6,2,4,0.62
8,2,4,0.65
10,2,4,0.83
12,2,4,0.70
14,2,4,0.66
16,2,4,0.78
18,2,4,0.98
20,2,4,1.00
22,2,4,0.99
24,2,4,0.94
26,2,4,0.88
28,2,4,0.81
30,2,4,0.77
32,2,4,0.89
34,2,4,1.07
36,2,4,1.12
38,2,4,1.18
40,2,4,1.21
42,2,4,1.21
44,2,4,1.21
46,2,4,1.21
48,2,4,1.17
50,2,4,1.14
52,2,4,1.09
54,2,4,1.04
56,2,4,1.02
58,2,4,1.01
60,2,4,0.97
62,2,4,0.94
64,2,4,1.04
66,2,4,1.30
68,2,4,1.37
70,2,4,1.38
72,2,4,1.35
74,2,4,1.27
76,2,4,1.40
78,2,4,1.41
80,2,4,1.35
82,2,4,1.33
84,2,4,1.27
86,2,4,1.29
88,2,4,1.38
90,2,4,1.33
92,2,4,1.37
94,2,4,1.47
96,2,4,1.38
98,2,4,1.49
100,2,4,1.40
102,2,4,1.39
104,2,4,1.41
106,2,4,1.39
108,2,4,1.39
110,2,4,1.37
112,2,4,1.39
114,2,4,1.38
116,2,4,1.36
118,2,4,1.39
120,2,4,1.41
122,2,4,1.41
124,2,4,1.41
126,2,4,1.43
128,2,4,1.59
130,2,4,1.88
132,2,4,2.05
134,2,4,2.29
136,2,4,2.33
138,2,4,2.52
140,2,4,2.72
142,2,4,2.61
144,2,4,2.77
146,2,4,2.88
148,2,4,3.32
150,2,4,3.75
152,2,4,4.21
154,2,4,4.74
156,2,4,4.87
158,2,4,5.09
160,2,4,5.47
162,2,4,6.10
164,2,4,7.54
166,2,4,7.49
168,2,4,8.01
170,2,4,8.64
172,2,4,9.19
174,2,4,9.66
176,2,4,10.28
178,2,4,11.88
180,2,4,12.68
182,2,4,13.52
184,2,4,14.23
186,2,4,14.72
188,2,4,14.93
190,2,4,15.74
192,2,4,15.55
194,2,4,16.99
196,2,4,17.87
198,2,4,16.44
200,2,4,16.41
202,2,4,15.65
204,2,4,15.78
206,2,4,15.28
208,2,4,14.70
210,2,4,15.04
212,2,4,15.13
214,2,4,14.87
216,2,4,15.68
218,2,4,15.34
220,2,4,14.61
222,2,4,15.06
224,2,4,14.35
226,2,4,14.34
228,2,4,14.27
230,2,4,14.31
232,2,4,14.30
234,2,4,13.74
236,2,4,13.83
238,2,4,13.33
240,2,4,13.25
242,2,4,12.97
244,2,4,13.00
246,2,4,13.14
248,2,4,13.06
250,2,4,13.10
252,2,4,12.59
254,2,4,12.32
256,2,4,4.66
