Processes,Size,Algorithm,Latency(us)
2,2,1,0.23
2,4,1,0.24
2,8,1,0.23
2,16,1,0.24
2,32,1,0.25
2,64,1,0.23
2,128,1,0.40
2,256,1,0.48
2,512,1,0.36
2,1024,1,0.47
2,2048,1,0.53
2,4096,1,0.72
2,8192,1,0.63
2,16384,1,1.45
2,32768,1,2.67
2,65536,1,4.14
2,131072,1,6.80
2,262144,1,20.70
2,524288,1,46.11
2,1048576,1,111.91
4,2,1,0.34
4,4,1,0.24
4,8,1,0.26
4,16,1,0.26
4,32,1,0.27
4,64,1,0.24
4,128,1,0.54
4,256,1,0.41
4,512,1,0.40
4,1024,1,0.49
4,2048,1,0.44
4,4096,1,0.74
4,8192,1,0.76
4,16384,1,1.50
4,32768,1,2.65
4,65536,1,4.96
4,131072,1,8.88
4,262144,1,59.40
4,524288,1,122.64
4,1048576,1,256.75
6,2,1,0.32
6,4,1,0.34
6,8,1,0.32
6,16,1,0.37
6,32,1,0.37
6,64,1,0.40
6,128,1,0.64
6,256,1,0.54
6,512,1,0.62
6,1024,1,0.61
6,2048,1,0.77
6,4096,1,1.30
6,8192,1,1.99
6,16384,1,3.95
6,32768,1,6.72
6,65536,1,12.80
6,131072,1,25.10
6,262144,1,151.07
6,524288,1,271.00
6,1048576,1,530.82
8,2,1,0.33
8,4,1,0.33
8,8,1,0.33
8,16,1,0.35
8,32,1,0.37
8,64,1,0.37
8,128,1,0.75
8,256,1,0.56
8,512,1,0.63
8,1024,1,0.71
8,2048,1,1.04
8,4096,1,1.91
8,8192,1,3.19
8,16384,1,5.82
8,32768,1,11.23
8,65536,1,22.05
8,131072,1,44.02
8,262144,1,217.98
8,524288,1,435.50
8,1048576,1,861.62
10,2,1,0.30
10,4,1,0.24
10,8,1,0.25
10,16,1,0.34
10,32,1,0.27
10,64,1,0.36
10,128,1,0.53
10,256,1,0.45
10,512,1,0.52
10,1024,1,0.71
10,2048,1,0.85
10,4096,1,1.62
10,8192,1,3.05
10,16384,1,5.91
10,32768,1,12.23
10,65536,1,25.06
10,131072,1,50.90
10,262144,1,212.30
10,524288,1,402.29
10,1048576,1,794.20
12,2,1,0.24
12,4,1,0.38
12,8,1,0.28
12,16,1,0.29
12,32,1,0.34
12,64,1,0.28
12,128,1,0.54
12,256,1,0.52
12,512,1,0.54
12,1024,1,0.64
12,2048,1,0.88
12,4096,1,1.88
12,8192,1,3.59
12,16384,1,7.58
12,32768,1,15.66
12,65536,1,31.81
12,131072,1,64.08
12,262144,1,253.35
12,524288,1,507.76
12,1048576,1,1048.01
14,2,1,0.41
14,4,1,0.41
