Processes,Size,Algorithm,Latency(us)
2,2,6,0.16
2,4,6,0.15
2,8,6,0.16
2,16,6,0.14
2,32,6,0.16
2,64,6,0.18
2,128,6,0.20
2,256,6,0.20
2,512,6,0.24
2,1024,6,0.25
2,2048,6,0.30
2,4096,6,0.36
2,8192,6,0.45
2,16384,6,4.19
2,32768,6,4.40
2,65536,6,4.85
2,131072,6,7.62
2,262144,6,11.92
2,524288,6,29.84
2,1048576,6,59.96
4,2,6,0.18
4,4,6,0.18
4,8,6,0.17
4,16,6,0.19
4,32,6,0.17
4,64,6,0.18
4,128,6,0.28
4,256,6,0.29
4,512,6,0.31
4,1024,6,0.39
4,2048,6,0.46
4,4096,6,0.59
4,8192,6,0.82
4,16384,6,3.58
4,32768,6,6.28
4,65536,6,8.04
4,131072,6,12.98
4,262144,6,26.23
4,524288,6,56.40
4,1048576,6,118.11
8,2,6,0.75
8,4,6,0.86
8,8,6,0.85
8,16,6,0.85
8,32,6,0.93
8,64,6,0.98
8,128,6,1.26
8,256,6,1.20
8,512,6,1.32
8,1024,6,1.49
8,2048,6,1.94
8,4096,6,3.15
8,8192,6,4.60
8,16384,6,10.40
8,32768,6,18.59
8,65536,6,39.29
8,131072,6,61.30
8,262144,6,118.63
8,524288,6,247.24
8,1048576,6,446.09
16,2,6,1.10
16,4,6,1.05
16,8,6,1.05
16,16,6,1.10
16,32,6,1.25
16,64,6,1.26
16,128,6,1.61
16,256,6,1.64
16,512,6,1.81
16,1024,6,2.21
16,2048,6,3.05
16,4096,6,5.25
16,8192,6,10.60
16,16384,6,16.78
16,32768,6,31.14
16,65536,6,58.36
16,131072,6,119.58
16,262144,6,238.42
16,524288,6,472.84
16,1048576,6,865.32
32,2,6,1.59
32,4,6,1.48
32,8,6,1.51
32,16,6,1.56
32,32,6,1.71
32,64,6,1.84
32,128,6,2.40
32,256,6,2.53
32,512,6,2.63
32,1024,6,3.24
32,2048,6,4.50
32,4096,6,7.97
32,8192,6,16.86
32,16384,6,28.30
32,32768,6,51.83
32,65536,6,106.27
32,131072,6,204.39
32,262144,6,413.82
32,524288,6,800.13
32,1048576,6,1476.03
64,2,6,1.63
64,4,6,1.62
64,8,6,1.56
64,16,6,1.64
64,32,6,1.91
64,64,6,1.99
64,128,6,2.73
64,256,6,2.84
64,512,6,3.10
64,1024,6,3.74
64,2048,6,5.52
64,4096,6,11.88
64,8192,6,25.22
64,16384,6,43.27
64,32768,6,84.07
64,65536,6,166.32
64,131072,6,337.55
64,262144,6,703.11
64,524288,6,1309.17
64,1048576,6,2181.88
128,2,6,2.37
128,4,6,2.49
128,8,6,2.33
128,16,6,2.58
128,32,6,2.79
128,64,6,2.86
128,128,6,4.43
128,256,6,4.59
128,512,6,4.74
128,1024,6,4.86
128,2048,6,8.05
128,4096,6,16.52
128,8192,6,32.63
128,16384,6,62.38
128,32768,6,123.40
128,65536,6,258.53
128,131072,6,524.29
128,262144,6,1135.35
128,524288,6,2263.76
128,1048576,6,3771.37
256,2,6,4.32
256,4,6,4.42
256,8,6,4.33
256,16,6,4.44
256,32,6,4.70
256,64,6,4.83
256,128,6,6.27
256,256,6,6.49
256,512,6,23.86
256,1024,6,27.54
256,2048,6,33.34
256,4096,6,45.57
256,8192,6,64.40
256,16384,6,108.57
256,32768,6,191.80
256,65536,6,351.75
256,131072,6,704.75
256,262144,6,1473.95
256,524288,6,3066.93
256,1048576,6,6055.68
