Processes,Size,Algorithm,Latency(us)
2,2,5,0.16
2,4,5,0.16
2,8,5,0.17
2,16,5,0.18
2,32,5,0.18
2,64,5,0.18
2,128,5,0.21
2,256,5,0.21
2,512,5,0.23
2,1024,5,0.26
2,2048,5,0.31
2,4096,5,0.40
2,8192,5,0.51
2,16384,5,0.91
2,32768,5,1.74
2,65536,5,3.25
2,131072,5,7.44
2,262144,5,21.54
2,524288,5,42.97
2,1048576,5,79.04
4,2,5,0.25
4,4,5,0.24
4,8,5,0.25
4,16,5,0.25
4,32,5,0.25
4,64,5,0.25
4,128,5,0.34
4,256,5,0.39
4,512,5,0.38
4,1024,5,0.43
4,2048,5,0.48
4,4096,5,0.60
4,8192,5,0.90
4,16384,5,1.74
4,32768,5,3.29
4,65536,5,5.81
4,131072,5,10.24
4,262144,5,42.98
4,524288,5,83.44
4,1048576,5,968.75
8,2,5,0.50
8,4,5,0.51
8,8,5,0.51
8,16,5,0.51
8,32,5,0.55
8,64,5,0.50
8,128,5,0.69
8,256,5,0.70
8,512,5,0.80
8,1024,5,0.77
8,2048,5,1.05
8,4096,5,1.16
8,8192,5,1.62
8,16384,5,2.99
8,32768,5,5.60
8,65536,5,10.61
8,131072,5,18.44
8,262144,5,80.76
8,524288,5,260.73
8,1048576,5,1265.58
16,2,5,0.57
16,4,5,0.56
16,8,5,0.55
16,16,5,0.56
16,32,5,0.61
16,64,5,0.62
16,128,5,0.76
16,256,5,0.76
16,512,5,0.78
16,1024,5,0.89
16,2048,5,1.06
16,4096,5,1.43
16,8192,5,2.04
16,16384,5,3.65
16,32768,5,6.94
16,65536,5,13.44
16,131072,5,26.56
16,262144,5,114.53
16,524288,5,351.93
16,1048576,5,818.85
32,2,5,0.64
32,4,5,0.63
32,8,5,0.64
32,16,5,0.63
32,32,5,0.69
32,64,5,0.69
32,128,5,0.84
32,256,5,0.85
32,512,5,0.87
32,1024,5,0.96
32,2048,5,1.16
32,4096,5,1.51
32,8192,5,2.20
32,16384,5,4.08
32,32768,5,7.66
32,65536,5,14.72
32,131072,5,30.81
32,262144,5,117.02
32,524288,5,392.04
32,1048576,5,860.54
64,2,5,0.74
64,4,5,0.74
64,8,5,0.73
64,16,5,0.73
64,32,5,0.85
64,64,5,0.82
64,128,5,1.04
64,256,5,1.04
64,512,5,1.01
64,1024,5,1.11
64,2048,5,1.38
64,4096,5,1.73
64,8192,5,2.58
64,16384,5,4.60
64,32768,5,9.80
64,65536,5,17.22
64,131072,5,32.45
64,262144,5,133.90
64,524288,5,421.02
64,1048576,5,928.54
128,2,5,0.93
128,4,5,1.06
128,8,5,0.87
128,16,5,0.96
128,32,5,1.08
128,64,5,1.02
128,128,5,1.20
128,256,5,1.44
128,512,5,1.36
128,1024,5,1.26
128,2048,5,1.56
128,4096,5,2.31
128,8192,5,3.11
128,16384,5,4.84
128,32768,5,10.33
128,65536,5,19.80
128,131072,5,33.44
128,262144,5,150.63
128,524288,5,428.25
128,1048576,5,948.45
256,2,5,0.66
256,4,5,0.65
256,8,5,0.71
256,16,5,0.74
256,32,5,0.70
256,64,5,0.68
256,128,5,0.88
256,256,5,0.89
256,512,5,0.96
256,1024,5,1.03
256,2048,5,1.24
256,4096,5,1.62
256,8192,5,2.60
256,16384,5,4.83
256,32768,5,8.53
256,65536,5,16.44
256,131072,5,33.20
256,262144,5,155.21
256,524288,5,450.82
256,1048576,5,952.26
