Processes,Size,Algorithm,Latency(us)
2,2,7,0.40
2,4,7,0.39
2,8,7,0.41
2,16,7,0.40
2,32,7,0.39
2,64,7,0.39
2,128,7,0.41
2,256,7,0.50
2,512,7,0.53
2,1024,7,0.58
2,2048,7,0.73
2,4096,7,0.80
2,8192,7,1.08
2,16384,7,1.80
2,32768,7,3.46
2,65536,7,6.21
2,131072,7,12.10
2,262144,7,129.65
2,524288,7,87.19
2,1048576,7,177.57
4,2,7,0.19
4,4,7,0.67
4,8,7,0.68
4,16,7,0.68
4,32,7,0.68
4,64,7,0.68
4,128,7,0.70
4,256,7,0.81
4,512,7,0.95
4,1024,7,0.98
4,2048,7,1.22
4,4096,7,1.41
4,8192,7,1.98
4,16384,7,3.05
4,32768,7,5.14
4,65536,7,9.29
4,131072,7,17.95
4,262144,7,141.13
4,524288,7,123.73
4,1048576,7,2047.84
8,2,7,0.35
8,4,7,0.34
8,8,7,1.79
8,16,7,1.73
8,32,7,1.73
8,64,7,1.77
8,128,7,1.71
8,256,7,2.17
8,512,7,2.16
8,1024,7,2.65
8,2048,7,2.74
8,4096,7,3.22
8,8192,7,4.65
8,16384,7,6.17
8,32768,7,11.16
8,65536,7,20.48
8,131072,7,39.76
8,262144,7,184.67
8,524288,7,1651.26
8,1048576,7,2807.50
16,2,7,0.68
16,4,7,0.68
16,8,7,0.69
16,16,7,2.12
16,32,7,2.16
16,64,7,2.13
16,128,7,2.39
16,256,7,2.63
16,512,7,2.92
16,1024,7,3.22
16,2048,7,4.00
16,4096,7,4.39
16,8192,7,5.25
16,16384,7,8.55
16,32768,7,17.37
16,65536,7,31.14
16,131072,7,66.78
16,262144,7,285.12
16,524288,7,693.11
16,1048576,7,1468.32
32,2,7,1.20
32,4,7,1.21
32,8,7,1.21
32,16,7,1.20
32,32,7,2.74
32,64,7,2.83
32,128,7,3.05
32,256,7,3.06
32,512,7,3.17
32,1024,7,3.94
32,2048,7,4.81
32,4096,7,5.81
32,8192,7,7.07
32,16384,7,11.01
32,32768,7,19.23
32,65536,7,37.76
32,131072,7,83.97
32,262144,7,311.47
32,524288,7,758.39
32,1048576,7,1645.61
64,2,7,2.42
64,4,7,2.41
64,8,7,2.46
64,16,7,2.45
64,32,7,2.49
64,64,7,4.18
64,128,7,4.16
64,256,7,4.48
64,512,7,4.73
64,1024,7,5.49
64,2048,7,6.42
64,4096,7,7.75
64,8192,7,9.74
64,16384,7,14.07
64,32768,7,23.26
64,65536,7,44.41
64,131072,7,100.29
64,262144,7,368.24
64,524288,7,882.23
64,1048576,7,1745.30
128,2,7,5.77
128,4,7,6.36
128,8,7,6.31
128,16,7,6.38
128,32,7,6.06
128,64,7,6.15
128,128,7,6.74
128,256,7,6.91
128,512,7,6.89
128,1024,7,7.58
128,2048,7,9.28
128,4096,7,9.98
128,8192,7,14.35
128,16384,7,18.13
128,32768,7,30.32
128,65536,7,64.52
128,131072,7,161.43
128,262144,7,493.94
128,524288,7,1340.97
128,1048576,7,1927.18
256,2,7,3.35
256,4,7,3.46
256,8,7,3.32
256,16,7,3.29
256,32,7,3.41
256,64,7,3.50
256,128,7,3.61
256,256,7,31.71
256,512,7,44.37
256,1024,7,28.61
256,2048,7,28.69
256,4096,7,30.35
256,8192,7,33.79
256,16384,7,38.96
256,32768,7,45.94
256,65536,7,75.68
256,131072,7,170.70
256,262144,7,496.81
256,524288,7,1166.28
256,1048576,7,1947.96
